visitorId,department
0398d5c77ee393d6b828d11cc0a1d9e38547f1fd,celulares e telefones
039e971a22761799d762961daa0a485f2f653dfb,eletroportateis
03a604f52050cd4b8a80aa5b182aa16cbd0ff4f7,beleza e saude
03a604f52050cd4b8a80aa5b182aa16cbd0ff4f7,sanduicheira
03a604f52050cd4b8a80aa5b182aa16cbd0ff4f7,grills sanduicheiras e torradeiras
03a604f52050cd4b8a80aa5b182aa16cbd0ff4f7,eletroportateis
03a604f52050cd4b8a80aa5b182aa16cbd0ff4f7,grill
03a604f52050cd4b8a80aa5b182aa16cbd0ff4f7,headphone
03a604f52050cd4b8a80aa5b182aa16cbd0ff4f7,aparador de pelo
03a604f52050cd4b8a80aa5b182aa16cbd0ff4f7,celulares e telefones
03a604f52050cd4b8a80aa5b182aa16cbd0ff4f7,cuide de sua pele
03a604f52050cd4b8a80aa5b182aa16cbd0ff4f7,audio
03a604f52050cd4b8a80aa5b182aa16cbd0ff4f7,fone de ouvido
03b09090f0a6a0bb3cf96d140345ffad1ed058fe,relogios
03b09090f0a6a0bb3cf96d140345ffad1ed058fe,anadigi
03b09090f0a6a0bb3cf96d140345ffad1ed058fe,relogio masculino
03d440705dbd036c6510fa5a8bde49a91c471cbb,fogao
03d440705dbd036c6510fa5a8bde49a91c471cbb,eletrodomesticos
03da05081fa6f23bcb1927e1509be8d2a6bf132b,refrigerador
03da05081fa6f23bcb1927e1509be8d2a6bf132b,eletrodomesticos
03da05081fa6f23bcb1927e1509be8d2a6bf132b,refrigerador 2 portas
03e129e3b17f60b5d3c8c6aa2d237202fb72713d,eletrodomesticos
03e129e3b17f60b5d3c8c6aa2d237202fb72713d,lavadora acima de 9kg
03e129e3b17f60b5d3c8c6aa2d237202fb72713d,lavadora de roupa
03e30aa86d119f0882cc46740b9dc2b3baf2d86b,eletrodomesticos
03f14e2d0a09e6b10fc908bff602e87e41e92801,acessorios de informatica
